Treatments,min_current_fps,max_current_fps,mean_current_fps,mean_allocated_ram,mean_average_fps,mean_reserved_ram,mean_mono_ram,mean_cpu,mean_slider,median_slider,max_slider,AmbientOcclusion,Bloom,ChromaticAberration,ContactShadows,Fog,MicroShadowing,MotionBlur,ReflectionProbe,ScreenSpaceReflection,ScreenSpaceRefraction,Tonemapping,Vignette,WhiteBalance
" ReflectionProbe,ScreenSpaceRefraction,AmbientOcclusion,Vignette,MotionBlur,WhiteBalance ",25.99266,41.83733,32.53799235294118,158.8554294117647,39.859730000000006,183.3516,19.447151176470587,10.807289999999997,71.03641558235294,100.0,100.0,1,0,0,0,0,0,1,1,0,1,0,1,1
" Bloom,Tonemapping,ContactShadows,ChromaticAberration,MicroShadowing ",27.12659,52.02967,37.71764521739129,160.41945217391307,39.87996304347826,183.3516,20.844090869565214,10.15625,47.68116039130435,53.33334,86.19048,0,1,1,1,0,1,0,0,0,0,1,0,0
" Fog,Bloom,ChromaticAberration,ContactShadows ",13.67869,15.56949,14.65628,160.2929,39.789880000000004,183.3516,20.652345,7.291667,-58.57143000000001,-66.42857,-88.57143,0,1,1,1,1,0,0,0,0,0,0,0,0
" Bloom,Vignette,MotionBlur,WhiteBalance ",27.99419,40.86537,35.02059,160.93993636363638,39.869426363636364,183.3516,20.2326,11.067710000000003,21.082255036363637,25.71429,34.76191,0,1,0,0,0,0,1,0,0,0,0,1,1
" Tonemapping,Vignette,MicroShadowing,Fog,ScreenSpaceReflection ",13.04809,18.08426,15.163961818181816,141.03824545454543,38.01236181818182,180.3516,18.034446363636366,6.025094818181819,16.277057454545456,16.66666,26.19048,0,0,0,0,1,1,0,0,1,0,1,1,0
" WhiteBalance,ReflectionProbe,ChromaticAberration,ScreenSpaceReflection ",24.6521,45.30607,33.875837777777775,142.55706111111107,38.085455555555555,180.3516,22.19032222222222,10.15625,36.32275305555556,36.42857,71.42857,0,0,1,0,0,0,0,1,1,0,0,0,1
" Bloom,Vignette,WhiteBalance,Tonemapping,AmbientOcclusion,ContactShadows ",26.59115,49.1925,36.71520846153846,143.9135769230769,38.096547692307695,180.3516,21.96694769230769,10.286458461538462,26.373624538461538,26.19047,50.47619,1,1,0,1,0,0,0,0,0,0,1,1,1
" Tonemapping,ReflectionProbe,ScreenSpaceReflection,ChromaticAberration ",21.22777,59.9988,34.05630928571429,144.55607142857144,38.08616214285714,180.3516,21.62193,10.9375,26.020410071428568,28.57143,43.80953,0,0,1,0,0,0,0,1,1,0,1,0,0
" ChromaticAberration,ContactShadows,MotionBlur,ScreenSpaceReflection,ScreenSpaceRefraction ",23.36803,41.46298,31.11488,145.34059000000002,38.07467100000001,180.3516,17.917189,13.411460000000002,29.0476247,31.190485000000002,51.42858,0,0,1,1,0,0,1,0,1,1,0,0,0
" ChromaticAberration,WhiteBalance,AmbientOcclusion,ScreenSpaceReflection,Fog ",12.62572,22.69303,15.90120142857143,141.83605714285713,40.911548571428575,181.3516,17.66880642857143,9.114582999999998,-74.48979857142857,-73.33333999999999,-100.0,1,0,1,0,1,0,0,0,1,0,0,0,1
" ScreenSpaceRefraction,WhiteBalance,Fog,AmbientOcclusion ",13.40695,17.04786,15.548624999999998,142.5960625,37.973110000000005,183.8516,21.0507825,8.59375,-25.773812250000002,-25.952379999999998,-50.95238,1,0,0,0,1,0,0,0,0,1,0,0,1
" ReflectionProbe,MicroShadowing,AmbientOcclusion,MotionBlur,WhiteBalance ",21.80697,60.00636,50.231973809523815,141.49206666666666,32.00292428571429,181.3516,21.13095333333333,7.911706428571429,38.82086304761905,34.28572,77.14286,1,0,0,0,0,1,1,1,0,0,0,0,1
" AmbientOcclusion,WhiteBalance,MicroShadowing,ReflectionProbe,MotionBlur,ChromaticAberration ",33.16211,60.006,55.564999729729756,144.2709621621622,32.02375648648648,181.3516,19.431799459459455,8.065878108108109,55.6756779027027,57.14286,100.0,1,0,1,0,0,1,1,1,0,0,0,0,1
" ContactShadows,AmbientOcclusion,ScreenSpaceReflection,WhiteBalance,ScreenSpaceRefraction ",31.54823,60.00492,51.24450052631578,146.0069947368421,32.00688,181.3516,20.272204210526315,5.598957999999998,31.40350586842105,21.90475,72.85714,1,0,0,1,0,0,0,0,1,1,0,0,1
" WhiteBalance,MotionBlur,MicroShadowing,AmbientOcclusion,ScreenSpaceRefraction ",33.61232,60.01392,53.23053222222221,141.39718518518515,31.004005925925927,180.9441925925926,19.465568148148147,10.546879999999994,36.61376264074074,40.47619,68.57143,1,0,0,0,0,1,1,0,0,1,0,0,1
" ScreenSpaceReflection,Fog,ReflectionProbe,ContactShadows,AmbientOcclusion,ScreenSpaceRefraction ",24.3089,44.28168,33.64592892857143,144.375975,30.92750285714286,182.3516,18.87039642857143,11.816407500000006,22.108843428571426,20.000005,62.85714,1,0,0,1,1,0,0,1,1,1,0,0,0
" WhiteBalance,ContactShadows,MotionBlur,ChromaticAberration,Vignette ",35.71607,60.06583,55.63625285714285,143.2086142857143,31.01340249999999,183.92302857142857,21.076311071428574,11.21186928571429,58.554421982142856,67.619055,100.0,0,0,1,1,0,0,1,0,0,0,0,1,1
" AmbientOcclusion,MicroShadowing,ReflectionProbe,ScreenSpaceRefraction,Vignette ",33.86662,60.0042,52.6609505,145.26356500000003,31.001780999999987,183.95159999999998,19.634766499999998,12.981773000000004,25.333339165000005,22.142855,52.85715,1,0,0,0,0,1,0,1,0,1,0,1,0
" ReflectionProbe,Fog,Vignette,WhiteBalance,MotionBlur ",27.6812,45.29765,35.08505666666667,147.01531111111112,30.933123333333338,184.3516,22.33072888888889,11.71875,35.55555277777778,40.0,58.09523,0,0,0,0,1,0,1,1,0,0,0,1,1
" ContactShadows,Fog,ScreenSpaceReflection,AmbientOcclusion,MotionBlur ",24.46645,46.05515,34.06404285714285,147.06632142857143,30.929136428571432,184.0658857142857,21.633370714285714,10.249255714285713,22.551024314285712,25.476194999999997,39.04762,1,0,0,1,1,0,1,0,1,0,0,0,0
" MotionBlur,AmbientOcclusion,MicroShadowing,ChromaticAberration,WhiteBalance ",50.43653,54.59707,52.76690249999999,149.59361249999998,31.002194999999997,184.3516,21.379883749999998,10.546879999999998,-24.79166721875,-19.285719999999998,-56.66667,1,0,1,0,0,1,1,0,0,0,0,0,1
" MotionBlur,ScreenSpaceRefraction,Vignette,Fog,ChromaticAberration ",27.0415,46.54367,35.891462499999996,151.31535,30.936274166666667,184.3516,21.03483166666667,10.026039999999998,18.174605916666668,19.999995,27.61905,0,0,1,0,1,0,1,0,0,1,0,1,0
" ChromaticAberration,MotionBlur,Fog ",28.24699,53.61614,36.96515615384615,151.94382307692308,30.940467692307696,184.3516,21.61989153846154,11.538464615384614,-36.11721661538461,-35.71429,-64.28571,0,0,1,0,1,0,1,0,0,0,0,0,0
" ScreenSpaceRefraction,Fog,ContactShadows,MicroShadowing,Vignette ",26.90023,35.39873,31.797002727272726,153.41331818181817,30.920280909090902,184.3516,19.46449,11.067710000000003,40.259738818181816,40.47619,71.42857,0,0,0,1,1,1,0,0,0,1,0,1,0
" MicroShadowing,ChromaticAberration,MotionBlur ",34.01812,60.00204,51.493625,152.80072142857142,30.99722071428571,184.3516,18.249442857142856,9.635417000000002,60.03401542857143,67.857145,100.0,0,0,1,0,0,1,1,0,0,0,0,0,0
" ScreenSpaceRefraction,MicroShadowing,AmbientOcclusion,MotionBlur,WhiteBalance ",32.39171,60.00312,50.10570166666667,154.08056666666667,30.991799166666667,184.3516,20.720703333333333,10.807289999999997,46.111116458333335,39.52382,100.0,1,0,0,0,0,1,1,0,0,1,0,0,1
" MicroShadowing,Vignette,Fog,AmbientOcclusion ",25.71388,45.92823,34.25058592592593,155.98938148148147,30.92986555555556,184.3516,17.832899629629626,11.588543333333337,35.34392014814815,28.09525,85.2381,1,0,0,0,1,1,0,0,0,0,0,1,0
" ReflectionProbe,Fog,AmbientOcclusion,ScreenSpaceReflection ",26.59334,43.41635,34.42289625,156.7117375,30.9305375,184.3516,19.41308875,13.411460000000002,11.369050625,11.42857,22.38096,1,0,0,0,1,0,0,1,1,0,0,0,0
" WhiteBalance,Vignette,AmbientOcclusion,ChromaticAberration,ScreenSpaceReflection ",30.0221,60.0042,48.64128833333333,156.62379444444446,30.98608,184.3516,19.37152777777778,10.546879999999996,-29.33862477222222,-24.761905,-57.14286,1,0,1,0,0,0,0,0,1,0,0,1,1
" ChromaticAberration,Vignette,WhiteBalance ",33.12223,60.00456,53.619356666666675,157.43635555555556,31.005524814814816,184.3516,22.032554074074074,10.836227592592591,27.513228014814814,27.61905,70.95239,0,0,1,0,0,0,0,0,0,0,0,1,1
" ScreenSpaceRefraction,AmbientOcclusion,ChromaticAberration,WhiteBalance,Fog ",23.79219,41.52755,31.24726545454545,159.30428181818186,30.918133636363635,184.3516,19.538708181818183,8.333332999999998,19.610383863636365,18.09523,43.80952,1,0,1,0,1,0,0,0,0,1,0,0,1
" WhiteBalance,ChromaticAberration,ReflectionProbe,Fog,MicroShadowing,Vignette ",32.78785,36.6122,34.911033,160.41041,30.932445,184.3516,19.624221,13.671879999999998,42.1904842,48.333349999999996,70.4762,0,0,1,0,1,1,0,1,0,0,0,1,1
" AmbientOcclusion,ReflectionProbe,Fog,ContactShadows ",26.50832,49.81742,36.24239958333333,160.04397083333333,30.93764583333333,184.3516,21.374837916666664,12.814667499999993,1.8452392500000008,7.3809565,-26.19048,1,0,0,1,1,0,0,1,0,0,0,0,0
" ContactShadows,Vignette,ChromaticAberration,ReflectionProbe,MotionBlur ",36.08949,60.00168,51.10831375000001,160.436975,30.995716249999997,184.3516,22.642578750000006,9.635417000000002,17.8571466125,14.76191,37.61905,0,0,1,1,0,0,1,1,0,0,0,1,0
" MicroShadowing,ChromaticAberration,WhiteBalance,MotionBlur,Fog ",28.91686,37.44828,32.794715999999994,161.92446,30.924178,184.3516,20.765628,11.84896,21.5238088,25.2381,33.80952,0,0,1,0,1,1,1,0,0,0,0,0,1
" ChromaticAberration,AmbientOcclusion,ScreenSpaceRefraction,MicroShadowing,WhiteBalance ",57.5934,57.5934,57.5934,159.6238,31.02105,184.3516,18.99609,12.10938,67.14285,67.14285,67.14285,1,0,1,0,0,1,0,0,0,1,0,0,1
" Tonemapping,ScreenSpaceReflection,MotionBlur,AmbientOcclusion,ContactShadows,MicroShadowing ",58.32842,58.32842,58.32842,140.6691,33.57864,180.3516,18.08984,11.97917,80.95239,80.95239,80.95239,1,0,0,1,0,1,1,0,1,0,1,0,0
" Bloom,Tonemapping,ScreenSpaceReflection,MotionBlur,ChromaticAberration ",60.00168,60.00168,60.00168,139.6929,33.58517,180.3516,17.12109,12.36979,72.38096,72.38096,72.38096,0,1,1,0,0,0,1,0,1,0,1,0,0
" Vignette,MicroShadowing,WhiteBalance,ScreenSpaceRefraction,ContactShadows ",60.00528,60.00528,60.00528,143.7241,33.58519,180.3516,21.10156,12.63021,-86.66667,-86.66667,-86.66667,0,0,0,1,0,1,0,0,0,1,0,1,1
