Treatments,min_current_fps,max_current_fps,mean_current_fps,mean_allocated_ram,mean_average_fps,mean_reserved_ram,mean_mono_ram,mean_cpu,mean_slider,median_slider,max_slider,AmbientOcclusion,Bloom,ChromaticAberration,ContactShadows,Fog,MicroShadowing,MotionBlur,ReflectionProbe,ScreenSpaceReflection,ScreenSpaceRefraction,Tonemapping,Vignette,WhiteBalance
" MicroShadowing,MotionBlur,ChromaticAberration,Fog,AmbientOcclusion ",26.77261,31.30566,29.039135,146.52805,54.285470000000004,181.3516,17.466794999999998,10.546875,-53.571434999999994,-53.571434999999994,-58.09524,1,0,1,0,1,1,1,0,0,0,0,0,0
" Tonemapping,AmbientOcclusion,ContactShadows,ScreenSpaceRefraction,ScreenSpaceReflection ",31.42401,60.00816,54.45885333333334,146.3214,54.384764999999994,181.3516,20.723956666666666,11.349826666666667,86.26984499999999,96.428575,100.0,1,0,0,1,0,0,0,0,1,1,1,0,0
" Tonemapping,MicroShadowing,ScreenSpaceRefraction,ChromaticAberration,MotionBlur,ReflectionProbe,AmbientOcclusion ",59.88275,60.00096,59.9713175,146.587175,54.406295,181.3516,18.615235,11.58854125,30.71429,34.28572,100.0,1,0,1,0,0,1,1,1,0,1,1,0,0
" ScreenSpaceRefraction,ScreenSpaceReflection,AmbientOcclusion,ReflectionProbe,WhiteBalance ",31.66661,60.00168,48.692478,148.06153999999998,54.36224,181.3516,18.980079999999997,10.8854147,-81.809524,-100.0,-100.0,1,0,0,0,0,0,0,1,1,1,0,0,1
" MicroShadowing,WhiteBalance,ScreenSpaceRefraction,ContactShadows,Fog ",29.1935,46.83884,40.232402,149.18734,54.329192,181.3516,21.584378,10.911461,-5.809528,24.28571,-53.80953,0,0,0,1,1,1,0,0,0,1,0,0,1
" ScreenSpaceRefraction,MicroShadowing,Fog ",39.60286,41.02227,40.312565,149.28140000000002,54.329505,181.3516,17.939455000000002,9.830729999999999,24.28571,24.28571,24.28571,0,0,0,0,1,1,0,0,0,1,0,0,0
" ScreenSpaceReflection,Bloom,Fog,MicroShadowing,ScreenSpaceRefraction,ContactShadows ",31.68809,56.94631,41.23831,150.60922,54.333122,181.3516,20.989060000000002,9.114583999999999,-96.09524,-100.0,-100.0,0,1,0,1,1,1,0,0,1,1,0,0,0
" MotionBlur,ScreenSpaceReflection,AmbientOcclusion,Bloom,ContactShadows,Tonemapping ",50.66293,60.11422,56.157963333333335,150.52633333333333,54.391403333333336,181.3516,20.772136666666665,10.850694333333331,22.222226666666668,21.90477,23.80953,1,1,0,1,0,0,1,0,1,0,1,0,0
" ContactShadows,ReflectionProbe,AmbientOcclusion,MicroShadowing,Vignette,Fog ",24.38376,37.81548,31.09962,150.82565,54.293515,181.3516,17.544919999999998,9.9609375,-82.61905,-82.61905,-85.2381,1,0,0,1,1,1,0,1,0,0,0,1,0
" ReflectionProbe,Bloom,MicroShadowing,ChromaticAberration,MotionBlur ",57.37399,57.37399,57.37399,151.1539,54.39615,181.3516,19.91406,10.54688,-50.0,-50.0,-50.0,0,1,1,0,0,1,1,1,0,0,0,0,0
" ReflectionProbe,Bloom,Vignette,MicroShadowing,Fog ",44.68036,46.51163,45.595995,151.56425000000002,54.350145,181.3516,20.044925,8.138021,42.38095,42.38095,45.71428,0,1,0,0,1,1,0,1,0,0,0,1,0
" ScreenSpaceRefraction,Fog,ChromaticAberration,Tonemapping,WhiteBalance ",35.30276,49.31088,41.1282,152.26343333333332,54.33268999999999,181.3516,18.208333333333332,9.418403333333332,20.793653333333335,20.95238,23.80953,0,0,1,0,1,0,0,0,0,1,1,0,1
" Fog,ScreenSpaceRefraction,ChromaticAberration,AmbientOcclusion,MicroShadowing ",33.20692,40.16951,36.59812,151.93853333333334,54.314996666666666,181.3516,21.052083333333332,9.852432333333333,-21.587303333333335,-20.0,-26.66667,1,0,1,0,1,1,0,0,0,1,0,0,0
" Fog,AmbientOcclusion,ReflectionProbe,MicroShadowing,Vignette ",27.65961,42.72865,34.7747175,151.9832,54.307875,181.3516,18.540039999999998,11.165365750000001,91.07143500000001,88.80953,100.0,1,0,0,0,1,1,0,1,0,0,0,1,0
" ScreenSpaceReflection,MotionBlur,MicroShadowing,ScreenSpaceRefraction,ContactShadows,AmbientOcclusion ",31.25586,60.00384,46.73780666666667,152.62103333333332,54.354606666666676,181.3516,20.736328333333336,9.722221666666668,-65.00000166666666,-58.57143,-80.0,1,0,0,1,0,1,1,0,1,1,0,0,0
" WhiteBalance,ScreenSpaceReflection,MotionBlur,ScreenSpaceRefraction ",37.71635,37.71635,37.71635,153.3395,54.31937,181.3516,22.02344,11.06771,34.76191,34.76191,34.76191,0,0,0,0,0,0,1,0,1,1,0,0,1
" MicroShadowing,Vignette,ContactShadows,Fog,WhiteBalance ",34.28779,34.28779,34.28779,153.8682,54.30597,181.3516,18.79688,11.71875,-49.04763,-49.04763,-49.04763,0,0,0,1,1,1,0,0,0,0,0,1,1
" ReflectionProbe,MotionBlur,ContactShadows,ChromaticAberration,Tonemapping ",59.997,60.0006,59.9988,153.3197,54.406405,181.3516,17.69922,13.216145000000001,30.952385,30.952385,32.38096,0,0,1,1,0,0,1,1,0,0,1,0,0
" WhiteBalance,Fog,Bloom,Tonemapping ",28.27534,38.41854,32.73147,154.8547,54.29989666666666,181.3516,21.187503333333336,10.32986,53.96825666666666,55.71429,55.71429,0,1,0,0,1,0,0,0,0,0,1,0,1
" MotionBlur,WhiteBalance,Bloom,Fog,ContactShadows ",37.16602,38.5257,37.84586,155.25560000000002,54.31987,185.3516,18.201175,10.9375,-60.714290000000005,-60.714290000000005,-65.71429,0,1,0,1,1,0,1,0,0,0,0,0,1
" ScreenSpaceReflection,Bloom,Vignette,Fog,ChromaticAberration ",30.01209,46.05472,38.523963333333334,155.21576666666667,54.32252,185.3516,21.648436666666665,11.197918999999999,-37.46032333333333,-41.90477,-41.90477,0,1,1,0,1,0,0,0,1,0,0,1,0
" WhiteBalance,ScreenSpaceRefraction,MicroShadowing,Bloom,AmbientOcclusion ",52.10776,52.10776,52.10776,155.7052,54.37558,185.3516,17.96875,10.9375,-21.90477,-21.90477,-21.90477,1,1,0,0,0,1,0,0,0,1,0,0,1
" Fog,WhiteBalance,AmbientOcclusion,Bloom,Tonemapping ",35.50796,43.83408,40.68275,156.08669999999998,54.33095333333333,185.3516,18.078123333333334,8.984375333333334,61.42857333333333,63.80952,72.85714,1,1,0,0,1,0,0,0,0,0,1,0,1
" WhiteBalance,MicroShadowing,MotionBlur,Vignette,ReflectionProbe ",32.51927,58.90878,46.70653142857143,156.14064285714286,54.354482857142855,185.3516,20.84430857142857,10.602678571428571,-54.353742857142855,-75.71429,-100.0,0,0,0,0,0,1,1,1,0,0,0,1,1
" Fog,AmbientOcclusion,ReflectionProbe,ScreenSpaceReflection,Vignette,ChromaticAberration,ScreenSpaceRefraction ",27.74248,27.74248,27.74248,157.7079,54.2804,185.3516,20.03906,11.84896,-32.85714,-32.85714,-32.85714,1,0,1,0,1,0,0,1,1,1,0,1,0
" AmbientOcclusion,Tonemapping,ChromaticAberration,Bloom,Vignette ",54.99763,60.00276,58.145723333333336,156.3113666666667,54.399166666666666,185.3516,19.450523333333333,11.284723333333334,28.09524,53.33334,60.0,1,1,1,0,0,0,0,0,0,0,1,1,0
" Vignette,ScreenSpaceReflection,MicroShadowing,ScreenSpaceRefraction,ContactShadows ",49.68129,59.50645,54.593869999999995,156.8569,54.38529,185.3516,19.878905,11.06771,14.761904999999999,14.761904999999999,52.85715,0,0,0,1,0,1,0,0,1,1,0,1,0
" Tonemapping,ChromaticAberration,ReflectionProbe,Bloom,AmbientOcclusion,Vignette ",31.91503,60.00132,48.94748666666667,157.86766666666665,54.363235,185.3516,20.954428333333333,12.065971666666668,57.22222333333334,72.61905,78.57143,1,1,1,0,0,0,0,1,0,0,1,1,0
" MotionBlur,Tonemapping,ScreenSpaceRefraction,Bloom,AmbientOcclusion ",33.16397,59.99808,42.28602,158.48396666666665,54.33721333333333,185.3516,20.444013333333334,9.678819333333333,30.952389999999998,32.38096,32.38096,1,1,0,0,0,0,1,0,0,1,1,0,0
" Bloom,WhiteBalance,AmbientOcclusion,ChromaticAberration,Vignette,Fog,ScreenSpaceRefraction,MotionBlur ",34.96638,49.13763,42.052005,159.9054,54.336299999999994,185.3516,18.771485,8.0078125,16.66667,16.66667,17.14286,1,1,1,0,1,0,1,0,0,1,0,1,1
" Bloom,Fog,AmbientOcclusion,ScreenSpaceReflection ",26.03096,31.60027,28.815615,159.88855,54.2846,185.3516,20.94141,9.895833,22.142865,22.142865,28.09525,1,1,0,0,1,0,0,0,1,0,0,0,0
" Fog,ReflectionProbe,MicroShadowing,MotionBlur,ScreenSpaceReflection,WhiteBalance ",33.46306,33.46306,33.46306,160.3244,54.30275,185.3516,17.76953,10.9375,52.85715,52.85715,52.85715,0,0,0,0,1,1,1,1,1,0,0,0,1
" ChromaticAberration,ReflectionProbe,MicroShadowing,Fog,AmbientOcclusion ",37.37885,37.37885,37.37885,160.5691,54.31805,185.3516,20.02734,10.54688,-54.28571,-54.28571,-54.28571,1,0,1,0,1,1,0,1,0,0,0,0,0
" ReflectionProbe,Vignette,ContactShadows,WhiteBalance,Tonemapping ",39.91267,39.91267,39.91267,160.9962,54.32795,185.3516,19.92188,8.463542,49.04763,49.04763,49.04763,0,0,0,1,0,0,0,1,0,0,1,1,1
" ScreenSpaceReflection,WhiteBalance,Tonemapping,ChromaticAberration,Vignette ",59.9988,59.9988,59.9988,159.25,54.40641,186.3516,18.24219,9.635417,48.09525,48.09525,48.09525,0,0,1,0,0,0,0,0,1,0,1,1,1
" Tonemapping,MicroShadowing,ChromaticAberration,ContactShadows,Fog ",24.24742,45.27673,34.24245142857143,162.51517142857142,54.305795714285715,186.3516,21.564734285714287,8.184523857142858,-100.0,-100.0,-100.0,0,0,1,1,1,1,0,0,0,0,1,0,0
" WhiteBalance,Fog,MicroShadowing,ReflectionProbe,MotionBlur ",38.17202,40.62794,39.39998,161.9481,54.32594,186.3516,20.41211,10.807295,64.52381,64.52381,65.71429,0,0,0,0,1,1,1,1,0,0,0,0,1
" ChromaticAberration,AmbientOcclusion,Fog,ContactShadows,Bloom ",24.90158,49.55377,36.36382,162.476775,54.31408,186.3516,18.311525000000003,10.091145000000001,-76.785715,-82.380955,-84.28571,1,1,1,1,1,0,0,0,0,0,0,0,0
" ChromaticAberration,Tonemapping,ContactShadows,AmbientOcclusion ",54.98615,58.62867,56.807410000000004,162.17855,54.39394,186.3516,19.257815,10.351561499999999,-33.57143,-33.57143,-39.04762,1,0,1,1,0,0,0,0,0,0,1,0,0
" ScreenSpaceReflection,ContactShadows,Tonemapping,AmbientOcclusion,ScreenSpaceRefraction ",34.20277,40.65801,37.43039,163.62324999999998,54.31825,186.3516,20.67578,11.328125,-39.285714999999996,-39.285714999999996,-39.52381,1,0,0,1,0,0,0,0,1,1,1,0,0
" Bloom,ScreenSpaceRefraction,Tonemapping,MicroShadowing,ScreenSpaceReflection ",33.32134,49.6623,40.45608666666667,164.19126666666668,54.33007,186.3516,20.416663333333332,10.46007,30.63492333333333,60.4762,66.19048,0,1,0,0,0,1,0,0,1,1,1,0,0
" MotionBlur,Bloom,Fog,MicroShadowing,Vignette,WhiteBalance ",37.3023,37.3023,37.3023,164.5204,54.31775,186.3516,22.33594,9.375,-79.52381,-79.52381,-79.52381,0,1,0,0,1,1,1,0,0,0,0,1,1
" WhiteBalance,Vignette,Tonemapping,ContactShadows ",47.60408,59.82615,56.3749,164.053925,54.392250000000004,186.3516,19.930667500000002,10.6119795,-66.54762,-66.428575,-67.14285,0,0,0,1,0,0,0,0,0,0,1,1,1
" WhiteBalance,Tonemapping,MotionBlur,MicroShadowing,Bloom,AmbientOcclusion ",55.43667,55.43667,55.43667,166.0848,54.38858,186.3516,17.81641,10.67708,-70.0,-70.0,-70.0,1,1,0,0,0,1,1,0,0,0,1,0,1
" WhiteBalance,ContactShadows,ChromaticAberration,ScreenSpaceRefraction,ReflectionProbe ",37.35302,59.53054,48.44178,165.36540000000002,54.36126,186.3516,18.39063,10.2864585,53.571439999999996,53.571439999999996,53.80954,0,0,1,1,0,0,0,1,0,1,0,0,1
" MicroShadowing,MotionBlur,ChromaticAberration,ScreenSpaceRefraction,Fog ",25.19361,42.25846,32.165389999999995,167.17846666666665,54.29768333333334,186.3516,20.446616666666667,10.28646,-72.06349333333334,-72.85714,-73.33334,0,0,1,0,1,1,1,0,0,1,0,0,0
" Tonemapping,WhiteBalance,MicroShadowing,MotionBlur,AmbientOcclusion ",50.18141,59.88562,55.82377333333333,166.43839999999997,54.39009666666667,186.3516,20.39844,9.201388333333332,84.76191,91.90477,100.0,1,0,0,0,0,1,1,0,0,0,1,0,1
" WhiteBalance,ScreenSpaceReflection,AmbientOcclusion,ContactShadows,MotionBlur,ReflectionProbe ",49.17025,49.17025,49.17025,167.9487,54.36411,186.3516,17.36719,9.244792,16.19048,16.19048,16.19048,1,0,0,1,0,0,1,1,1,0,0,0,1
" WhiteBalance,Bloom,Vignette,ScreenSpaceRefraction,ContactShadows,ScreenSpaceReflection ",31.27551,60.00276,51.431921071428576,141.19234642857143,33.01854892857142,183.3516,22.510742499999996,9.314546571428567,-74.16611214285714,-82.20141000000001,-100.0,0,1,0,1,0,0,0,0,1,1,0,1,1
" ScreenSpaceReflection,Vignette,WhiteBalance,AmbientOcclusion ",31.4096,60.00348,51.61591903846151,141.35531730769233,33.019266153846175,183.3516,19.284931153846152,13.531650000000015,-45.265569326923085,-45.71428,-98.57143,1,0,0,0,0,0,0,0,1,0,0,1,1
" MicroShadowing,ScreenSpaceReflection,ChromaticAberration,ContactShadows ",30.79206,60.00204,51.49411961538461,141.38635384615387,33.01879038461538,183.3516,19.726863076923078,11.328129999999994,-38.05860903461539,-46.666665,-72.38096,0,0,1,1,0,1,0,0,1,0,0,0,0
" ScreenSpaceRefraction,ChromaticAberration,ScreenSpaceReflection ",32.79549,60.00312,51.33393705882353,143.35572352941176,33.01816588235294,183.3516,20.15464117647059,12.890629999999994,-28.991598117647058,-28.09524,-53.33334,0,0,1,0,0,0,0,0,1,1,0,0,0
" ChromaticAberration,Bloom,Vignette,WhiteBalance,ScreenSpaceRefraction ",33.33944,60.00132,52.23200153846154,143.76933076923075,33.021673589743585,183.3516,17.87079435897436,12.039267692307684,-35.79975693076924,-40.0,-68.57143,0,1,1,0,0,0,0,0,0,1,0,1,1
" ContactShadows,Bloom,ChromaticAberration,Tonemapping,Fog ",26.74777,52.79747,37.43329885714286,145.0398914285714,32.963865428571424,183.3516,21.323214571428572,10.249256457142856,-68.23129291428572,-60.0,-100.0,0,1,1,1,1,0,0,0,0,0,1,0,0
" ChromaticAberration,MicroShadowing,ScreenSpaceReflection,ContactShadows,Vignette ",33.76371,60.06656,56.178054374999995,145.7771625,33.037088749999995,183.3516,17.807129375,10.774743124999997,13.928573806250002,16.428575,21.42857,0,0,1,1,0,1,0,0,1,0,0,1,0
" ContactShadows,ScreenSpaceReflection,ScreenSpaceRefraction,Fog,ChromaticAberration ",22.88235,58.50177,34.25746292682928,147.5089829268293,32.9514612195122,183.3516,20.026296585365852,11.185212682926824,-11.486643695121955,-7.619053,100.0,0,0,1,1,1,0,0,0,1,1,0,0,0
" ScreenSpaceRefraction,ScreenSpaceReflection,MicroShadowing,ContactShadows ",32.42111,60.00312,50.94529214285715,147.48696904761906,33.016647857142864,183.3516,21.555526190476193,11.00260357142858,-56.26249776190474,-53.604005,-100.0,0,0,0,1,0,1,0,0,1,1,0,0,0
" WhiteBalance,ChromaticAberration,Fog,Tonemapping,AmbientOcclusion,ReflectionProbe,ScreenSpaceRefraction,ContactShadows ",23.7755,44.08821,36.05862230769231,148.38025384615383,32.95849538461538,183.3516,18.41796846153846,10.526841923076924,-34.28571396153846,-40.4762,-60.0,1,0,1,1,1,0,0,1,0,1,1,0,1
" ReflectionProbe,Vignette,ContactShadows,ScreenSpaceReflection,MicroShadowing,AmbientOcclusion ",33.42246,60.00132,49.7774875,148.26038333333332,33.01208416666666,183.3516,21.720378333333333,9.635417000000002,-36.74603291666667,-43.095240000000004,-60.0,1,0,0,1,0,1,0,1,1,0,0,1,0
" ScreenSpaceRefraction,Tonemapping,ChromaticAberration,ContactShadows,WhiteBalance,Fog ",23.47765,48.75314,36.743740526315804,149.5550289473684,32.96117315789473,183.3516,20.52354078947368,10.74904105263158,-54.62406107894738,-53.809525,-98.57143,0,0,1,1,1,0,0,0,0,1,1,0,1
" ContactShadows,MicroShadowing,Tonemapping,AmbientOcclusion,ReflectionProbe ",32.47112,60.0042,50.51345257142857,149.18667142857146,33.01496057142857,183.3516,18.20758914285714,10.360865428571422,-76.12245080000001,-84.76191,-100.0,1,0,0,1,0,1,0,1,0,0,1,0,0
" Tonemapping,Vignette,MicroShadowing,Bloom,ReflectionProbe ",32.39139,60.006,50.2633144,150.29583200000002,33.013984,183.3516,20.753437999999996,9.864584320000002,-59.92381186000001,-56.19048,-100.0,0,1,0,0,0,1,0,1,0,0,1,1,0
" MicroShadowing,Tonemapping,Vignette,Bloom,Fog ",21.65533,59.22697,35.672140909090906,151.87409393939393,32.95698666666667,183.3516,21.888849696969693,8.937027090909085,35.310243939393935,36.19048,71.42857,0,1,0,0,1,1,0,0,0,0,1,1,0
" Vignette,ContactShadows,Fog,ScreenSpaceReflection,AmbientOcclusion,Bloom,ScreenSpaceRefraction ",24.14217,40.29236,30.615537272727273,152.13902727272728,32.937234545454544,183.3516,19.00816818181818,9.895832999999998,-39.13419953636364,-52.38095,-56.66667,1,1,0,1,1,0,0,0,1,1,0,1,0
" ScreenSpaceRefraction,AmbientOcclusion,ContactShadows,MotionBlur,WhiteBalance ",34.46743,60.00564,52.61710538461538,151.2607923076923,33.02317846153847,183.3516,17.390926153846152,12.630210000000003,-36.41025749230769,-30.00001,-81.90476,1,0,0,1,0,0,1,0,0,1,0,0,1
" MotionBlur,WhiteBalance,Fog,ScreenSpaceRefraction,MicroShadowing ",25.24685,52.2813,36.83314909090909,153.2763318181818,32.96152227272728,183.3516,21.141513181818183,11.10322181818182,-63.65801206363638,-84.04762500000001,-100.0,0,0,0,0,1,1,1,0,0,1,0,0,1
" WhiteBalance,Fog,ChromaticAberration,ContactShadows,MicroShadowing ",25.80392,54.12866,38.58599368421053,153.61015263157898,32.968367894736836,183.3516,19.760691052631582,11.71875,-50.30075242105263,-46.19048,-100.0,0,0,1,1,1,1,0,0,0,0,0,0,1
" WhiteBalance,ChromaticAberration,Tonemapping,AmbientOcclusion,ContactShadows,MotionBlur ",33.10897,60.00096,50.79643434782608,153.69974347826087,33.01606695652175,183.3516,22.532440434782615,9.652399652173909,24.96894965217391,28.09525,40.00001,1,0,1,1,0,0,1,0,0,0,1,0,1
" ContactShadows,ReflectionProbe,Fog,MicroShadowing,ScreenSpaceReflection ",26.93661,40.83766,33.42161875,154.7133375,32.948196249999995,183.3516,21.03906125,9.733073499999998,-53.452380875,-51.90476,-100.0,0,0,0,1,1,1,0,1,1,0,0,0,0
" MicroShadowing,ContactShadows,ChromaticAberration,Vignette,ScreenSpaceReflection ",31.63266,60.00024,49.47218764705881,154.47428235294115,33.01089294117647,183.3516,18.481618235294118,10.41667,-21.820729494117654,-25.2381,-35.2381,0,0,1,1,0,1,0,0,1,0,0,1,0
" Bloom,ReflectionProbe,ScreenSpaceRefraction,Vignette,MicroShadowing,Tonemapping ",24.52495,60.00492,50.649385937500014,155.4137625,33.01549156249999,183.3516,18.272339374999998,9.619141125,-45.684525915625,-45.714285,-86.66667,0,1,0,0,0,1,0,1,0,1,1,1,0
" Tonemapping,Bloom,Vignette,ScreenSpaceReflection,AmbientOcclusion ",32.80625,60.0132,52.282253000000004,157.48656499999998,33.021869499999994,183.3516,21.6074235,8.984375,18.214285525,19.285715,33.33334,1,1,0,0,0,0,0,0,1,0,1,1,0
" ChromaticAberration,ScreenSpaceReflection,Vignette,WhiteBalance,Tonemapping,MicroShadowing ",35.31822,60.00132,51.43654999999998,158.15065555555555,33.018566111111106,186.68493333333333,19.912111111111113,9.114583,-25.952382611111112,-27.857145,-42.85714,0,0,1,0,0,1,0,0,1,0,1,1,1
" ContactShadows,Bloom,MicroShadowing,ChromaticAberration,MotionBlur ",32.60472,60.00744,51.95293347826087,158.88956956521739,33.02058304347826,187.3516,19.202616521739127,9.74297913043478,-28.633540695652172,-29.04762,-46.66667,0,1,1,1,0,1,1,0,0,0,0,0,0
" ScreenSpaceRefraction,ReflectionProbe,ChromaticAberration,AmbientOcclusion,Bloom ",41.5797,60.00312,53.454664285714294,159.62181428571427,33.026450000000004,187.3516,17.96372571428571,9.951636857142857,-23.265308428571426,-26.19048,-40.4762,1,1,1,0,0,0,0,1,0,1,0,0,0
" Tonemapping,ChromaticAberration,ContactShadows,Vignette,MicroShadowing,MotionBlur,AmbientOcclusion ",32.50383,60.00708,50.78142568965517,160.72386379310345,33.01600672413794,187.3516,20.101024655172413,12.39673172413793,-19.868635860344828,-22.142855,-79.52381,1,0,1,1,0,1,1,0,0,0,1,1,0
" ScreenSpaceReflection,Vignette,MotionBlur,ReflectionProbe,ChromaticAberration ",40.14452,60.00312,48.710908,161.87822,33.00792,187.3516,21.610157,8.984375,-27.428571690000002,-31.42857,-47.61905,0,0,1,0,0,0,1,1,1,0,0,1,0
" MotionBlur,ScreenSpaceReflection,Vignette,Tonemapping,Fog ",22.97826,50.1321,34.391305357142855,162.83917857142856,32.95198357142857,187.3516,20.398159999999997,9.737724357142858,30.901358925,25.952385,74.7619,0,0,0,0,1,0,1,0,1,0,1,1,0
" Tonemapping,ContactShadows,MicroShadowing,Bloom ",32.58582,60.00132,51.42911642857143,162.80365714285713,33.01853607142857,187.3516,18.061104642857142,9.905134821428572,-57.465987714285724,-60.714285000000004,-85.2381,0,1,0,1,0,1,0,0,0,0,1,0,0
" Vignette,Bloom,WhiteBalance,Tonemapping,MotionBlur,ReflectionProbe,Fog,ScreenSpaceRefraction ",24.24954,45.74168,33.7220605,164.31262999999998,32.949369999999995,187.3516,22.645703499999996,10.807289999999997,16.04762312,17.142865,27.61905,0,1,0,0,1,0,1,1,0,1,1,1,1
" AmbientOcclusion,MotionBlur,Fog,Tonemapping,ScreenSpaceRefraction ",24.39423,42.02987,30.98427083333333,164.8039916666667,32.938674166666665,187.3516,19.722005833333334,10.807289583333334,-40.158733250000004,-45.2381,-55.23809,1,0,0,0,1,0,1,0,0,1,1,0,0
" MicroShadowing,ReflectionProbe,ChromaticAberration,Tonemapping,MotionBlur ",33.48793,60.00996,53.1654423076923,164.27554230769232,33.02532,187.3516,19.407752307692306,8.764022923076922,-72.39926926538462,-88.80952500000001,-100.0,0,0,1,0,0,1,1,1,0,0,1,0,0
" AmbientOcclusion,MicroShadowing,Fog,WhiteBalance,ReflectionProbe,ScreenSpaceReflection,MotionBlur ",23.81593,47.11203,34.27936142857142,165.80428571428573,32.951545714285714,187.3516,22.151228571428568,10.84449714285714,-34.897961571428574,-45.476195000000004,-57.14286,1,0,0,0,1,1,1,1,1,0,0,0,1
" ChromaticAberration,Tonemapping,ScreenSpaceRefraction,Bloom,ReflectionProbe,ScreenSpaceReflection ",31.91992,60.00456,49.21389423076922,165.79910769230767,33.009884230769224,187.3516,19.763973076923076,7.79747665384615,-32.58241896153846,-28.809525,-99.04762,0,1,1,0,0,0,0,1,1,1,1,0,0
" ReflectionProbe,ScreenSpaceRefraction,Bloom,AmbientOcclusion,ContactShadows,Vignette,WhiteBalance,Tonemapping ",28.2093,60.00132,50.717124000000005,166.39747999999997,33.01575599999999,187.3516,18.541876000000002,11.671873599999994,-47.31428979600001,-53.33334,-75.71429,1,1,0,1,0,0,0,1,0,1,1,1,1
" AmbientOcclusion,WhiteBalance,ScreenSpaceReflection,Tonemapping ",31.55838,60.00312,51.13544954545454,167.17409999999998,33.01739,187.3516,17.683061363636366,11.576708181818178,13.571433040909096,14.047625,24.28572,1,0,0,0,0,0,0,0,1,0,1,0,1
" AmbientOcclusion,ReflectionProbe,Vignette,MicroShadowing,WhiteBalance ",30.41104,60.00384,50.542691818181815,167.85129999999998,33.01507454545455,187.3516,21.68466,12.239580000000002,-30.562770454545454,-20.95238,-67.61905,1,0,0,0,0,1,0,1,0,0,0,1,1
" ScreenSpaceReflection,Bloom,MotionBlur,Vignette,Fog,ContactShadows,ScreenSpaceRefraction ",26.06502,44.73752,32.734548888888895,169.18803333333332,32.94551222222222,187.3516,20.30078111111111,9.375,-37.089949266666665,-47.14286,-55.71429,0,1,0,1,1,0,1,0,1,1,0,1,0
" Tonemapping,AmbientOcclusion,Bloom,Vignette,Fog ",25.90096,58.45355,36.276245,170.27123333333336,32.95934666666667,187.3516,18.112955833333334,9.505207999999998,20.952383450000003,21.90476,37.61905,1,1,0,0,1,0,0,0,0,0,1,1,0
" Vignette,Tonemapping,ChromaticAberration,ReflectionProbe,Fog ",23.64458,39.44244,31.366425384615386,170.62789615384617,32.940167307692306,187.3516,21.90234461538462,9.635416999999997,53.71795230384616,53.809525,100.0,0,0,1,0,1,0,0,1,0,0,1,1,0
" Vignette,MicroShadowing,Bloom,MotionBlur,AmbientOcclusion,ScreenSpaceReflection,ReflectionProbe ",28.96771,60.00348,49.52519409090908,170.72154545454543,33.0111,187.3516,19.91015636363636,12.369789999999997,-38.398269181818186,-40.238095,-69.52381,1,1,0,0,0,1,1,1,1,0,0,1,0
" MotionBlur,ContactShadows,ReflectionProbe,Tonemapping,Fog,AmbientOcclusion ",25.06699,49.36468,34.576881666666665,171.71015,32.952706666666664,187.3516,17.83366,10.9375,12.976192241666666,12.142865,25.2381,1,0,0,1,1,0,1,1,0,0,1,0,0
" ChromaticAberration,ReflectionProbe,MotionBlur,ContactShadows ",34.52168,60.0042,51.58239,171.07517142857142,33.01913642857143,187.3516,21.39564785714286,11.067710000000003,-35.91836885714286,-42.857145,-55.71429,0,0,1,1,0,0,1,1,0,0,0,0,0
" Tonemapping,Fog,MotionBlur,AmbientOcclusion ",27.65502,49.11182,38.252499,172.58346,32.967064,187.3516,20.025782,8.723957999999998,-38.761908749999996,-48.80953,-60.0,1,0,0,0,1,0,1,0,0,0,1,0,0
" MotionBlur,MicroShadowing,Tonemapping,ContactShadows,ChromaticAberration ",33.63911,60.0024,50.81996777777779,172.61399444444447,33.01615611111111,187.3516,18.32595611111111,9.505208000000001,-72.35450016666667,-94.52381,-100.0,0,0,1,1,0,1,1,0,0,0,1,0,0
" ContactShadows,ScreenSpaceRefraction,WhiteBalance,ReflectionProbe,MicroShadowing ",38.26506,60.00348,51.67247153846154,173.11845384615384,33.01948769230769,187.3516,17.5619,10.416669999999998,-51.09890210769231,-45.23809,-100.0,0,0,0,1,0,1,0,1,0,1,0,0,1
" ReflectionProbe,ScreenSpaceRefraction,MicroShadowing,MotionBlur,ChromaticAberration ",32.70999,59.99952,50.30598928571429,174.4555285714286,33.01415071428571,187.3516,22.356864285714288,11.886164285714287,-41.08843485714285,-49.047619999999995,-68.57143,0,0,1,0,0,1,1,1,0,1,0,0,0
" ScreenSpaceRefraction,ScreenSpaceReflection,Vignette,WhiteBalance,ContactShadows,AmbientOcclusion ",33.57597,60.0042,52.842465833333335,176.01874166666664,33.024057500000005,187.3516,17.581706666666665,11.588539999999997,-14.523809541666667,-5.4761885,-44.28572,1,0,0,1,0,0,0,0,1,1,0,1,1
" MotionBlur,ChromaticAberration,Vignette,ScreenSpaceReflection,ReflectionProbe ",33.32367,60.00384,51.0188473529412,176.35102647058818,33.01693352941176,187.3516,21.212316764705882,11.48896970588235,26.442576852941176,32.38095,43.33334,0,0,1,0,0,0,1,1,1,0,0,1,0
